id,country,flag
AFG,Afghanistan,🇦🇫
ALB,Albania,🇦🇱
DZA,Algeria,🇩🇿
AND,Andorra,🇦🇩
AGO,Angola,🇦🇴
ARG,Argentina,🇦🇷
ARM,Armenia,🇦🇲
AUS,Australia,🇦🇺
AUT,Austria,🇦🇹
AZE,Azerbaijan,🇦🇿
BAN,Bangladesh,🇧🇩
BEL,Belgium,🇧🇪
BRA,Brazil,🇧🇷
BRN,Bahrain,🇧🇭
BUL,Bulgaria,🇧🇬
CAN,Canada,🇨🇦
CHN,China,🇨🇳
COL,Colombia,🇨🇴
CZE,Czech Republic,🇨🇿
DEN,Denmark,🇩🇰
EGY,Egypt,🇪🇬
ENG,England,🏴
ESP,Spain,🇪🇸
EST,Estonia,🇪🇪
FIN,Finland,🇫🇮
FRA,France,🇫🇷
GER,Germany,🇩🇪
GRE,Greece,🇬🇷
HKG,Hong Kong,🇭🇰
HUN,Hungary,🇭🇺
IND,India,🇮🇳
INA,Indonesia,🇮🇩
IRI,Iran,🇮🇷
IRL,Ireland,🇮🇪
ISR,Israel,🇮🇱
ITA,Italy,🇮🇹
JPN,Japan,🇯🇵
JOR,Jordan,🇯🇴
KAZ,Kazakhstan,🇰🇿
KOR,South Korea,🇰🇷
KUW,Kuwait,🇰🇼
LAT,Latvia,🇱🇻
LBN,Lebanon,🇱🇧
LTU,Lithuania,🇱🇹
MAS,Malaysia,🇲🇾
MEX,Mexico,🇲🇽
MGL,Mongolia,🇲🇳
MAR,Morocco,🇲🇦
NED,Netherlands,🇳🇱
NEP,Nepal,🇳🇵
NGR,Nigeria,🇳🇬
NOR,Norway,🇳🇴
NZL,New Zealand,🇳🇿
PAK,Pakistan,🇵🇰
PER,Peru,🇵🇪
PHI,Philippines,🇵🇭
POL,Poland,🇵🇱
POR,Portugal,🇵🇹
QAT,Qatar,🇶🇦
ROU,Romania,🇷🇴
RUS,Russia,🇷🇺
SGP,Singapore,🇸🇬
SLO,Slovenia,🇸🇮
SRB,Serbia,🇷🇸
RSA,South Africa,🇿🇦
SRI,Sri Lanka,🇱🇰
SWE,Sweden,🇸🇪
SUI,Switzerland,🇨🇭
THA,Thailand,🇹🇭
TPE,Chinese Taipei,🇹🇼
TUR,Turkey,🇹🇷
UKR,Ukraine,🇺🇦
UAE,United Arab Emirates,🇦🇪
GBR,United Kingdom,🇬🇧
USA,United States,🇺🇸
VIE,Vietnam,🇻🇳
